,Month,Municipality,Offence group and specifier for criminal act,Information,value
41,2009M04,WHOLE COUNTRY,"1303 Other sexual crimes 20:4-5,5a, 8-9 (-2022)",Offences known to the authorities (number),43.0
42,2009M04,WHOLE COUNTRY,"1304 Rape, aggravated rape 20:1-2",Offences known to the authorities (number),
43,2009M04,WHOLE COUNTRY,"1305 Sexual assault, aggravated sexual assault, sexual abuse 20:3-5§",Offences known to the authorities (number),
44,2009M04,WHOLE COUNTRY,1306 Sexual harassment 20:6§,Offences known to the authorities (number),
45,2009M04,WHOLE COUNTRY,1306a1 Sexual harrasment on internet,Offences known to the authorities (number),
46,2009M04,WHOLE COUNTRY,1307 Non-consensual dissemination of a sexual image 20:7§,Offences known to the authorities (number),
47,2009M04,WHOLE COUNTRY,1307a1 Non-consensual dissemination of a sexual image on internet,Offences known to the authorities (number),
48,2009M04,WHOLE COUNTRY,"1308 Pandering, aggravated pandering, abuse of a victim of prostitution 20:8,10-11§",Offences known to the authorities (number),
49,2009M04,WHOLE COUNTRY,"1309 Rape of a child, aggravated rape of a child 20:12-13§",Offences known to the authorities (number),
50,2009M04,WHOLE COUNTRY,"1310 Sexual assault of a child, sexual abuse of a child, offering compensation to a young person for a sexual act, solicitation of a child for sexual purposes 20:14-20:16, 20:18§",Offences known to the authorities (number),
51,2009M04,WHOLE COUNTRY,"1310a1 Sexuall offence against child,  20:14-20:16, 20:18§, on internet",Offences known to the authorities (number),
52,2009M05,WHOLE COUNTRY,"1301 Sexual abuse of a child, aggravated sexual abuse of a child, aggravated rape of a child 20:6-7, 7b (-2022)",Offences known to the authorities (number),75.0
53,2009M05,WHOLE COUNTRY,"1302 Rape, aggravated rape, rape (3 mom) 20:1-2 (-2022)",Offences known to the authorities (number),83.0
54,2009M05,WHOLE COUNTRY,"1303 Other sexual crimes 20:4-5,5a, 8-9 (-2022)",Offences known to the authorities (number),33.0
55,2009M05,WHOLE COUNTRY,"1304 Rape, aggravated rape 20:1-2",Offences known to the authorities (number),
56,2009M05,WHOLE COUNTRY,"1305 Sexual assault, aggravated sexual assault, sexual abuse 20:3-5§",Offences known to the authorities (number),
57,2009M05,WHOLE COUNTRY,1306 Sexual harassment 20:6§,Offences known to the authorities (number),
58,2009M05,WHOLE COUNTRY,1306a1 Sexual harrasment on internet,Offences known to the authorities (number),
59,2009M05,WHOLE COUNTRY,1307 Non-consensual dissemination of a sexual image 20:7§,Offences known to the authorities (number),
60,2009M05,WHOLE COUNTRY,1307a1 Non-consensual dissemination of a sexual image on internet,Offences known to the authorities (number),
61,2009M05,WHOLE COUNTRY,"1308 Pandering, aggravated pandering, abuse of a victim of prostitution 20:8,10-11§",Offences known to the authorities (number),
62,2009M05,WHOLE COUNTRY,"1309 Rape of a child, aggravated rape of a child 20:12-13§",Offences known to the authorities (number),
63,2009M05,WHOLE COUNTRY,"1310 Sexual assault of a child, sexual abuse of a child, offering compensation to a young person for a sexual act, solicitation of a child for sexual purposes 20:14-20:16, 20:18§",Offences known to the authorities (number),
64,2009M05,WHOLE COUNTRY,"1310a1 Sexuall offence against child,  20:14-20:16, 20:18§, on internet",Offences known to the authorities (number),
65,2009M06,WHOLE COUNTRY,"1301 Sexual abuse of a child, aggravated sexual abuse of a child, aggravated rape of a child 20:6-7, 7b (-2022)",Offences known to the authorities (number),84.0
66,2009M06,WHOLE COUNTRY,"1302 Rape, aggravated rape, rape (3 mom) 20:1-2 (-2022)",Offences known to the authorities (number),62.0
67,2009M06,WHOLE COUNTRY,"1303 Other sexual crimes 20:4-5,5a, 8-9 (-2022)",Offences known to the authorities (number),58.0
68,2009M06,WHOLE COUNTRY,"1304 Rape, aggravated rape 20:1-2",Offences known to the authorities (number),
69,2009M06,WHOLE COUNTRY,"1305 Sexual assault, aggravated sexual assault, sexual abuse 20:3-5§",Offences known to the authorities (number),
70,2009M06,WHOLE COUNTRY,1306 Sexual harassment 20:6§,Offences known to the authorities (number),
71,2009M06,WHOLE COUNTRY,1306a1 Sexual harrasment on internet,Offences known to the authorities (number),
72,2009M06,WHOLE COUNTRY,1307 Non-consensual dissemination of a sexual image 20:7§,Offences known to the authorities (number),
73,2009M06,WHOLE COUNTRY,1307a1 Non-consensual dissemination of a sexual image on internet,Offences known to the authorities (number),
74,2009M06,WHOLE COUNTRY,"1308 Pandering, aggravated pandering, abuse of a victim of prostitution 20:8,10-11§",Offences known to the authorities (number),
75,2009M06,WHOLE COUNTRY,"1309 Rape of a child, aggravated rape of a child 20:12-13§",Offences known to the authorities (number),
76,2009M06,WHOLE COUNTRY,"1310 Sexual assault of a child, sexual abuse of a child, offering compensation to a young person for a sexual act, solicitation of a child for sexual purposes 20:14-20:16, 20:18§",Offences known to the authorities (number),
77,2009M06,WHOLE COUNTRY,"1310a1 Sexuall offence against child,  20:14-20:16, 20:18§, on internet",Offences known to the authorities (number),
78,2009M07,WHOLE COUNTRY,"1301 Sexual abuse of a child, aggravated sexual abuse of a child, aggravated rape of a child 20:6-7, 7b (-2022)",Offences known to the authorities (number),104.0
79,2009M07,WHOLE COUNTRY,"1302 Rape, aggravated rape, rape (3 mom) 20:1-2 (-2022)",Offences known to the authorities (number),61.0
80,2009M07,WHOLE COUNTRY,"1303 Other sexual crimes 20:4-5,5a, 8-9 (-2022)",Offences known to the authorities (number),47.0
81,2009M07,WHOLE COUNTRY,"1304 Rape, aggravated rape 20:1-2",Offences known to the authorities (number),
82,2009M07,WHOLE COUNTRY,"1305 Sexual assault, aggravated sexual assault, sexual abuse 20:3-5§",Offences known to the authorities (number),
83,2009M07,WHOLE COUNTRY,1306 Sexual harassment 20:6§,Offences known to the authorities (number),
84,2009M07,WHOLE COUNTRY,1306a1 Sexual harrasment on internet,Offences known to the authorities (number),
85,2009M07,WHOLE COUNTRY,1307 Non-consensual dissemination of a sexual image 20:7§,Offences known to the authorities (number),
86,2009M07,WHOLE COUNTRY,1307a1 Non-consensual dissemination of a sexual image on internet,Offences known to the authorities (number),
87,2009M07,WHOLE COUNTRY,"1308 Pandering, aggravated pandering, abuse of a victim of prostitution 20:8,10-11§",Offences known to the authorities (number),
88,2009M07,WHOLE COUNTRY,"1309 Rape of a child, aggravated rape of a child 20:12-13§",Offences known to the authorities (number),
89,2009M07,WHOLE COUNTRY,"1310 Sexual assault of a child, sexual abuse of a child, offering compensation to a young person for a sexual act, solicitation of a child for sexual purposes 20:14-20:16, 20:18§",Offences known to the authorities (number),
90,2009M07,WHOLE COUNTRY,"1310a1 Sexuall offence against child,  20:14-20:16, 20:18§, on internet",Offences known to the authorities (number),
91,2009M08,WHOLE COUNTRY,"1301 Sexual abuse of a child, aggravated sexual abuse of a child, aggravated rape of a child 20:6-7, 7b (-2022)",Offences known to the authorities (number),73.0
92,2009M08,WHOLE COUNTRY,"1302 Rape, aggravated rape, rape (3 mom) 20:1-2 (-2022)",Offences known to the authorities (number),57.0
93,2009M08,WHOLE COUNTRY,"1303 Other sexual crimes 20:4-5,5a, 8-9 (-2022)",Offences known to the authorities (number),44.0
94,2009M08,WHOLE COUNTRY,"1304 Rape, aggravated rape 20:1-2",Offences known to the authorities (number),
95,2009M08,WHOLE COUNTRY,"1305 Sexual assault, aggravated sexual assault, sexual abuse 20:3-5§",Offences known to the authorities (number),
96,2009M08,WHOLE COUNTRY,1306 Sexual harassment 20:6§,Offences known to the authorities (number),
