,Month,Municipality,Offence group and specifier for criminal act,Information,value
1326,2012M09,WHOLE COUNTRY,1302a4 Rape in a public occasion (-2022),Offences known to the authorities (number),0.0
1327,2012M09,WHOLE COUNTRY,1302a5 Rape in other public place (-2022),Offences known to the authorities (number),13.0
1328,2012M09,WHOLE COUNTRY,"1302a6 Rape in a restaurant, etc. (-2022)",Offences known to the authorities (number),1.0
1329,2012M09,WHOLE COUNTRY,1302a7 Rape in unknown place (-2022),Offences known to the authorities (number),0.0
1330,2012M09,WHOLE COUNTRY,"1303 Other sexual crimes 20:4-5,5a, 8-9 (-2022)",Offences known to the authorities (number),42.0
1331,2012M09,WHOLE COUNTRY,"1304 Rape, aggravated rape 20:1-2",Offences known to the authorities (number),
1332,2012M09,WHOLE COUNTRY,1304a1 Rape in a private dwelling,Offences known to the authorities (number),
1333,2012M09,WHOLE COUNTRY,1304a2 Rape in other private place,Offences known to the authorities (number),
1334,2012M09,WHOLE COUNTRY,1304a3 Rape in a public business centre,Offences known to the authorities (number),
1335,2012M09,WHOLE COUNTRY,1304a4 Rape in a public occasion,Offences known to the authorities (number),
1336,2012M09,WHOLE COUNTRY,1304a5 Rape in other public place,Offences known to the authorities (number),
1337,2012M09,WHOLE COUNTRY,"1304a6 Rape in a restaurant, etc.",Offences known to the authorities (number),
1338,2012M09,WHOLE COUNTRY,1304a7 Rape in unknown place,Offences known to the authorities (number),
1339,2012M09,WHOLE COUNTRY,"1305 Sexual assault, aggravated sexual assault, sexual abuse 20:3-5§",Offences known to the authorities (number),
1340,2012M09,WHOLE COUNTRY,1306 Sexual harassment 20:6§,Offences known to the authorities (number),
1341,2012M09,WHOLE COUNTRY,1306a1 Sexual harrasment on internet,Offences known to the authorities (number),
1342,2012M09,WHOLE COUNTRY,1307 Non-consensual dissemination of a sexual image 20:7§,Offences known to the authorities (number),
1343,2012M09,WHOLE COUNTRY,1307a1 Non-consensual dissemination of a sexual image on internet,Offences known to the authorities (number),
1344,2012M09,WHOLE COUNTRY,"1308 Pandering, aggravated pandering, abuse of a victim of prostitution 20:8,10-11§",Offences known to the authorities (number),
1345,2012M09,WHOLE COUNTRY,"1309 Rape of a child, aggravated rape of a child 20:12-13§",Offences known to the authorities (number),
1346,2012M09,WHOLE COUNTRY,"1310 Sexual assault of a child, sexual abuse of a child, offering compensation to a young person for a sexual act, solicitation of a child for sexual purposes 20:14-20:16, 20:18§",Offences known to the authorities (number),
1347,2012M09,WHOLE COUNTRY,"1310a1 Sexuall offence against child,  20:14-20:16, 20:18§, on internet",Offences known to the authorities (number),
1348,2012M09,WHOLE COUNTRY,"1311 Dissemination of a sexually offensive image of a child, possession of a sexually offensive image of a child, following a sexually offensive performance of a child 20:19-22§",Offences known to the authorities (number),
1349,2012M09,WHOLE COUNTRY,"1311a1 Dissemination, possession or following a sexually offensive performance of a child on internet",Offences known to the authorities (number),
1350,2012M10,WHOLE COUNTRY,13 Sexual crimes,Offences known to the authorities (number),312.0
1351,2012M10,WHOLE COUNTRY,"1301 Sexual abuse of a child, aggravated sexual abuse of a child, aggravated rape of a child 20:6-7, 7b (-2022)",Offences known to the authorities (number),156.0
1352,2012M10,WHOLE COUNTRY,"1302 Rape, aggravated rape, rape (3 mom) 20:1-2 (-2022)",Offences known to the authorities (number),83.0
1353,2012M10,WHOLE COUNTRY,1302a1 Rape in a private dwelling (-2022),Offences known to the authorities (number),53.0
1354,2012M10,WHOLE COUNTRY,1302a2 Rape in other private place (-2022),Offences known to the authorities (number),13.0
1355,2012M10,WHOLE COUNTRY,1302a3 Rape in a public business centre (-2022),Offences known to the authorities (number),0.0
1356,2012M10,WHOLE COUNTRY,1302a4 Rape in a public occasion (-2022),Offences known to the authorities (number),0.0
1357,2012M10,WHOLE COUNTRY,1302a5 Rape in other public place (-2022),Offences known to the authorities (number),16.0
1358,2012M10,WHOLE COUNTRY,"1302a6 Rape in a restaurant, etc. (-2022)",Offences known to the authorities (number),1.0
1359,2012M10,WHOLE COUNTRY,1302a7 Rape in unknown place (-2022),Offences known to the authorities (number),0.0
1360,2012M10,WHOLE COUNTRY,"1303 Other sexual crimes 20:4-5,5a, 8-9 (-2022)",Offences known to the authorities (number),73.0
1361,2012M10,WHOLE COUNTRY,"1304 Rape, aggravated rape 20:1-2",Offences known to the authorities (number),
1362,2012M10,WHOLE COUNTRY,1304a1 Rape in a private dwelling,Offences known to the authorities (number),
1363,2012M10,WHOLE COUNTRY,1304a2 Rape in other private place,Offences known to the authorities (number),
1364,2012M10,WHOLE COUNTRY,1304a3 Rape in a public business centre,Offences known to the authorities (number),
1365,2012M10,WHOLE COUNTRY,1304a4 Rape in a public occasion,Offences known to the authorities (number),
1366,2012M10,WHOLE COUNTRY,1304a5 Rape in other public place,Offences known to the authorities (number),
1367,2012M10,WHOLE COUNTRY,"1304a6 Rape in a restaurant, etc.",Offences known to the authorities (number),
1368,2012M10,WHOLE COUNTRY,1304a7 Rape in unknown place,Offences known to the authorities (number),
1369,2012M10,WHOLE COUNTRY,"1305 Sexual assault, aggravated sexual assault, sexual abuse 20:3-5§",Offences known to the authorities (number),
1370,2012M10,WHOLE COUNTRY,1306 Sexual harassment 20:6§,Offences known to the authorities (number),
1371,2012M10,WHOLE COUNTRY,1306a1 Sexual harrasment on internet,Offences known to the authorities (number),
1372,2012M10,WHOLE COUNTRY,1307 Non-consensual dissemination of a sexual image 20:7§,Offences known to the authorities (number),
1373,2012M10,WHOLE COUNTRY,1307a1 Non-consensual dissemination of a sexual image on internet,Offences known to the authorities (number),
1374,2012M10,WHOLE COUNTRY,"1308 Pandering, aggravated pandering, abuse of a victim of prostitution 20:8,10-11§",Offences known to the authorities (number),
1375,2012M10,WHOLE COUNTRY,"1309 Rape of a child, aggravated rape of a child 20:12-13§",Offences known to the authorities (number),
1376,2012M10,WHOLE COUNTRY,"1310 Sexual assault of a child, sexual abuse of a child, offering compensation to a young person for a sexual act, solicitation of a child for sexual purposes 20:14-20:16, 20:18§",Offences known to the authorities (number),
1377,2012M10,WHOLE COUNTRY,"1310a1 Sexuall offence against child,  20:14-20:16, 20:18§, on internet",Offences known to the authorities (number),
1378,2012M10,WHOLE COUNTRY,"1311 Dissemination of a sexually offensive image of a child, possession of a sexually offensive image of a child, following a sexually offensive performance of a child 20:19-22§",Offences known to the authorities (number),
1379,2012M10,WHOLE COUNTRY,"1311a1 Dissemination, possession or following a sexually offensive performance of a child on internet",Offences known to the authorities (number),
1380,2012M11,WHOLE COUNTRY,13 Sexual crimes,Offences known to the authorities (number),292.0
1381,2012M11,WHOLE COUNTRY,"1301 Sexual abuse of a child, aggravated sexual abuse of a child, aggravated rape of a child 20:6-7, 7b (-2022)",Offences known to the authorities (number),155.0
1382,2012M11,WHOLE COUNTRY,"1302 Rape, aggravated rape, rape (3 mom) 20:1-2 (-2022)",Offences known to the authorities (number),59.0
1383,2012M11,WHOLE COUNTRY,1302a1 Rape in a private dwelling (-2022),Offences known to the authorities (number),32.0
1384,2012M11,WHOLE COUNTRY,1302a2 Rape in other private place (-2022),Offences known to the authorities (number),15.0
1385,2012M11,WHOLE COUNTRY,1302a3 Rape in a public business centre (-2022),Offences known to the authorities (number),1.0
1386,2012M11,WHOLE COUNTRY,1302a4 Rape in a public occasion (-2022),Offences known to the authorities (number),0.0
1387,2012M11,WHOLE COUNTRY,1302a5 Rape in other public place (-2022),Offences known to the authorities (number),11.0
1388,2012M11,WHOLE COUNTRY,"1302a6 Rape in a restaurant, etc. (-2022)",Offences known to the authorities (number),0.0
1389,2012M11,WHOLE COUNTRY,1302a7 Rape in unknown place (-2022),Offences known to the authorities (number),0.0
1390,2012M11,WHOLE COUNTRY,"1303 Other sexual crimes 20:4-5,5a, 8-9 (-2022)",Offences known to the authorities (number),78.0
1391,2012M11,WHOLE COUNTRY,"1304 Rape, aggravated rape 20:1-2",Offences known to the authorities (number),
1392,2012M11,WHOLE COUNTRY,1304a1 Rape in a private dwelling,Offences known to the authorities (number),
1393,2012M11,WHOLE COUNTRY,1304a2 Rape in other private place,Offences known to the authorities (number),
1394,2012M11,WHOLE COUNTRY,1304a3 Rape in a public business centre,Offences known to the authorities (number),
1395,2012M11,WHOLE COUNTRY,1304a4 Rape in a public occasion,Offences known to the authorities (number),
1396,2012M11,WHOLE COUNTRY,1304a5 Rape in other public place,Offences known to the authorities (number),
1397,2012M11,WHOLE COUNTRY,"1304a6 Rape in a restaurant, etc.",Offences known to the authorities (number),
1398,2012M11,WHOLE COUNTRY,1304a7 Rape in unknown place,Offences known to the authorities (number),
1399,2012M11,WHOLE COUNTRY,"1305 Sexual assault, aggravated sexual assault, sexual abuse 20:3-5§",Offences known to the authorities (number),
1400,2012M11,WHOLE COUNTRY,1306 Sexual harassment 20:6§,Offences known to the authorities (number),
1401,2012M11,WHOLE COUNTRY,1306a1 Sexual harrasment on internet,Offences known to the authorities (number),
1402,2012M11,WHOLE COUNTRY,1307 Non-consensual dissemination of a sexual image 20:7§,Offences known to the authorities (number),
1403,2012M11,WHOLE COUNTRY,1307a1 Non-consensual dissemination of a sexual image on internet,Offences known to the authorities (number),
1404,2012M11,WHOLE COUNTRY,"1308 Pandering, aggravated pandering, abuse of a victim of prostitution 20:8,10-11§",Offences known to the authorities (number),
1405,2012M11,WHOLE COUNTRY,"1309 Rape of a child, aggravated rape of a child 20:12-13§",Offences known to the authorities (number),
1406,2012M11,WHOLE COUNTRY,"1310 Sexual assault of a child, sexual abuse of a child, offering compensation to a young person for a sexual act, solicitation of a child for sexual purposes 20:14-20:16, 20:18§",Offences known to the authorities (number),
1407,2012M11,WHOLE COUNTRY,"1310a1 Sexuall offence against child,  20:14-20:16, 20:18§, on internet",Offences known to the authorities (number),
1408,2012M11,WHOLE COUNTRY,"1311 Dissemination of a sexually offensive image of a child, possession of a sexually offensive image of a child, following a sexually offensive performance of a child 20:19-22§",Offences known to the authorities (number),
1409,2012M11,WHOLE COUNTRY,"1311a1 Dissemination, possession or following a sexually offensive performance of a child on internet",Offences known to the authorities (number),
1410,2012M12,WHOLE COUNTRY,13 Sexual crimes,Offences known to the authorities (number),208.0
1411,2012M12,WHOLE COUNTRY,"1301 Sexual abuse of a child, aggravated sexual abuse of a child, aggravated rape of a child 20:6-7, 7b (-2022)",Offences known to the authorities (number),95.0
1412,2012M12,WHOLE COUNTRY,"1302 Rape, aggravated rape, rape (3 mom) 20:1-2 (-2022)",Offences known to the authorities (number),69.0
1413,2012M12,WHOLE COUNTRY,1302a1 Rape in a private dwelling (-2022),Offences known to the authorities (number),45.0
1414,2012M12,WHOLE COUNTRY,1302a2 Rape in other private place (-2022),Offences known to the authorities (number),13.0
1415,2012M12,WHOLE COUNTRY,1302a3 Rape in a public business centre (-2022),Offences known to the authorities (number),1.0
1416,2012M12,WHOLE COUNTRY,1302a4 Rape in a public occasion (-2022),Offences known to the authorities (number),1.0
1417,2012M12,WHOLE COUNTRY,1302a5 Rape in other public place (-2022),Offences known to the authorities (number),9.0
1418,2012M12,WHOLE COUNTRY,"1302a6 Rape in a restaurant, etc. (-2022)",Offences known to the authorities (number),0.0
1419,2012M12,WHOLE COUNTRY,1302a7 Rape in unknown place (-2022),Offences known to the authorities (number),0.0
1420,2012M12,WHOLE COUNTRY,"1303 Other sexual crimes 20:4-5,5a, 8-9 (-2022)",Offences known to the authorities (number),44.0
1421,2012M12,WHOLE COUNTRY,"1304 Rape, aggravated rape 20:1-2",Offences known to the authorities (number),
1422,2012M12,WHOLE COUNTRY,1304a1 Rape in a private dwelling,Offences known to the authorities (number),
1423,2012M12,WHOLE COUNTRY,1304a2 Rape in other private place,Offences known to the authorities (number),
1424,2012M12,WHOLE COUNTRY,1304a3 Rape in a public business centre,Offences known to the authorities (number),
1425,2012M12,WHOLE COUNTRY,1304a4 Rape in a public occasion,Offences known to the authorities (number),
1426,2012M12,WHOLE COUNTRY,1304a5 Rape in other public place,Offences known to the authorities (number),
1427,2012M12,WHOLE COUNTRY,"1304a6 Rape in a restaurant, etc.",Offences known to the authorities (number),
1428,2012M12,WHOLE COUNTRY,1304a7 Rape in unknown place,Offences known to the authorities (number),
1429,2012M12,WHOLE COUNTRY,"1305 Sexual assault, aggravated sexual assault, sexual abuse 20:3-5§",Offences known to the authorities (number),
1430,2012M12,WHOLE COUNTRY,1306 Sexual harassment 20:6§,Offences known to the authorities (number),
1431,2012M12,WHOLE COUNTRY,1306a1 Sexual harrasment on internet,Offences known to the authorities (number),
1432,2012M12,WHOLE COUNTRY,1307 Non-consensual dissemination of a sexual image 20:7§,Offences known to the authorities (number),
1433,2012M12,WHOLE COUNTRY,1307a1 Non-consensual dissemination of a sexual image on internet,Offences known to the authorities (number),
1434,2012M12,WHOLE COUNTRY,"1308 Pandering, aggravated pandering, abuse of a victim of prostitution 20:8,10-11§",Offences known to the authorities (number),
1435,2012M12,WHOLE COUNTRY,"1309 Rape of a child, aggravated rape of a child 20:12-13§",Offences known to the authorities (number),
1436,2012M12,WHOLE COUNTRY,"1310 Sexual assault of a child, sexual abuse of a child, offering compensation to a young person for a sexual act, solicitation of a child for sexual purposes 20:14-20:16, 20:18§",Offences known to the authorities (number),
1437,2012M12,WHOLE COUNTRY,"1310a1 Sexuall offence against child,  20:14-20:16, 20:18§, on internet",Offences known to the authorities (number),
1438,2012M12,WHOLE COUNTRY,"1311 Dissemination of a sexually offensive image of a child, possession of a sexually offensive image of a child, following a sexually offensive performance of a child 20:19-22§",Offences known to the authorities (number),
1439,2012M12,WHOLE COUNTRY,"1311a1 Dissemination, possession or following a sexually offensive performance of a child on internet",Offences known to the authorities (number),
1440,2013M01,WHOLE COUNTRY,13 Sexual crimes,Offences known to the authorities (number),199.0
1441,2013M01,WHOLE COUNTRY,"1301 Sexual abuse of a child, aggravated sexual abuse of a child, aggravated rape of a child 20:6-7, 7b (-2022)",Offences known to the authorities (number),108.0
1442,2013M01,WHOLE COUNTRY,"1302 Rape, aggravated rape, rape (3 mom) 20:1-2 (-2022)",Offences known to the authorities (number),56.0
1443,2013M01,WHOLE COUNTRY,1302a1 Rape in a private dwelling (-2022),Offences known to the authorities (number),41.0
1444,2013M01,WHOLE COUNTRY,1302a2 Rape in other private place (-2022),Offences known to the authorities (number),9.0
1445,2013M01,WHOLE COUNTRY,1302a3 Rape in a public business centre (-2022),Offences known to the authorities (number),0.0
1446,2013M01,WHOLE COUNTRY,1302a4 Rape in a public occasion (-2022),Offences known to the authorities (number),0.0
1447,2013M01,WHOLE COUNTRY,1302a5 Rape in other public place (-2022),Offences known to the authorities (number),6.0
1448,2013M01,WHOLE COUNTRY,"1302a6 Rape in a restaurant, etc. (-2022)",Offences known to the authorities (number),0.0
1449,2013M01,WHOLE COUNTRY,1302a7 Rape in unknown place (-2022),Offences known to the authorities (number),0.0
1450,2013M01,WHOLE COUNTRY,"1303 Other sexual crimes 20:4-5,5a, 8-9 (-2022)",Offences known to the authorities (number),35.0
1451,2013M01,WHOLE COUNTRY,"1304 Rape, aggravated rape 20:1-2",Offences known to the authorities (number),
1452,2013M01,WHOLE COUNTRY,1304a1 Rape in a private dwelling,Offences known to the authorities (number),
1453,2013M01,WHOLE COUNTRY,1304a2 Rape in other private place,Offences known to the authorities (number),
1454,2013M01,WHOLE COUNTRY,1304a3 Rape in a public business centre,Offences known to the authorities (number),
1455,2013M01,WHOLE COUNTRY,1304a4 Rape in a public occasion,Offences known to the authorities (number),
1456,2013M01,WHOLE COUNTRY,1304a5 Rape in other public place,Offences known to the authorities (number),
1457,2013M01,WHOLE COUNTRY,"1304a6 Rape in a restaurant, etc.",Offences known to the authorities (number),
1458,2013M01,WHOLE COUNTRY,1304a7 Rape in unknown place,Offences known to the authorities (number),
1459,2013M01,WHOLE COUNTRY,"1305 Sexual assault, aggravated sexual assault, sexual abuse 20:3-5§",Offences known to the authorities (number),
1460,2013M01,WHOLE COUNTRY,1306 Sexual harassment 20:6§,Offences known to the authorities (number),
1461,2013M01,WHOLE COUNTRY,1306a1 Sexual harrasment on internet,Offences known to the authorities (number),
1462,2013M01,WHOLE COUNTRY,1307 Non-consensual dissemination of a sexual image 20:7§,Offences known to the authorities (number),
1463,2013M01,WHOLE COUNTRY,1307a1 Non-consensual dissemination of a sexual image on internet,Offences known to the authorities (number),
1464,2013M01,WHOLE COUNTRY,"1308 Pandering, aggravated pandering, abuse of a victim of prostitution 20:8,10-11§",Offences known to the authorities (number),
1465,2013M01,WHOLE COUNTRY,"1309 Rape of a child, aggravated rape of a child 20:12-13§",Offences known to the authorities (number),
1466,2013M01,WHOLE COUNTRY,"1310 Sexual assault of a child, sexual abuse of a child, offering compensation to a young person for a sexual act, solicitation of a child for sexual purposes 20:14-20:16, 20:18§",Offences known to the authorities (number),
1467,2013M01,WHOLE COUNTRY,"1310a1 Sexuall offence against child,  20:14-20:16, 20:18§, on internet",Offences known to the authorities (number),
1468,2013M01,WHOLE COUNTRY,"1311 Dissemination of a sexually offensive image of a child, possession of a sexually offensive image of a child, following a sexually offensive performance of a child 20:19-22§",Offences known to the authorities (number),
1469,2013M01,WHOLE COUNTRY,"1311a1 Dissemination, possession or following a sexually offensive performance of a child on internet",Offences known to the authorities (number),
1470,2013M02,WHOLE COUNTRY,13 Sexual crimes,Offences known to the authorities (number),289.0
1471,2013M02,WHOLE COUNTRY,"1301 Sexual abuse of a child, aggravated sexual abuse of a child, aggravated rape of a child 20:6-7, 7b (-2022)",Offences known to the authorities (number),104.0
1472,2013M02,WHOLE COUNTRY,"1302 Rape, aggravated rape, rape (3 mom) 20:1-2 (-2022)",Offences known to the authorities (number),80.0
1473,2013M02,WHOLE COUNTRY,1302a1 Rape in a private dwelling (-2022),Offences known to the authorities (number),66.0
1474,2013M02,WHOLE COUNTRY,1302a2 Rape in other private place (-2022),Offences known to the authorities (number),8.0
1475,2013M02,WHOLE COUNTRY,1302a3 Rape in a public business centre (-2022),Offences known to the authorities (number),0.0
1476,2013M02,WHOLE COUNTRY,1302a4 Rape in a public occasion (-2022),Offences known to the authorities (number),0.0
1477,2013M02,WHOLE COUNTRY,1302a5 Rape in other public place (-2022),Offences known to the authorities (number),5.0
1478,2013M02,WHOLE COUNTRY,"1302a6 Rape in a restaurant, etc. (-2022)",Offences known to the authorities (number),1.0
1479,2013M02,WHOLE COUNTRY,1302a7 Rape in unknown place (-2022),Offences known to the authorities (number),0.0
1480,2013M02,WHOLE COUNTRY,"1303 Other sexual crimes 20:4-5,5a, 8-9 (-2022)",Offences known to the authorities (number),105.0
1481,2013M02,WHOLE COUNTRY,"1304 Rape, aggravated rape 20:1-2",Offences known to the authorities (number),
1482,2013M02,WHOLE COUNTRY,1304a1 Rape in a private dwelling,Offences known to the authorities (number),
1483,2013M02,WHOLE COUNTRY,1304a2 Rape in other private place,Offences known to the authorities (number),
1484,2013M02,WHOLE COUNTRY,1304a3 Rape in a public business centre,Offences known to the authorities (number),
1485,2013M02,WHOLE COUNTRY,1304a4 Rape in a public occasion,Offences known to the authorities (number),
1486,2013M02,WHOLE COUNTRY,1304a5 Rape in other public place,Offences known to the authorities (number),
1487,2013M02,WHOLE COUNTRY,"1304a6 Rape in a restaurant, etc.",Offences known to the authorities (number),
1488,2013M02,WHOLE COUNTRY,1304a7 Rape in unknown place,Offences known to the authorities (number),
1489,2013M02,WHOLE COUNTRY,"1305 Sexual assault, aggravated sexual assault, sexual abuse 20:3-5§",Offences known to the authorities (number),
1490,2013M02,WHOLE COUNTRY,1306 Sexual harassment 20:6§,Offences known to the authorities (number),
1491,2013M02,WHOLE COUNTRY,1306a1 Sexual harrasment on internet,Offences known to the authorities (number),
1492,2013M02,WHOLE COUNTRY,1307 Non-consensual dissemination of a sexual image 20:7§,Offences known to the authorities (number),
1493,2013M02,WHOLE COUNTRY,1307a1 Non-consensual dissemination of a sexual image on internet,Offences known to the authorities (number),
1494,2013M02,WHOLE COUNTRY,"1308 Pandering, aggravated pandering, abuse of a victim of prostitution 20:8,10-11§",Offences known to the authorities (number),
1495,2013M02,WHOLE COUNTRY,"1309 Rape of a child, aggravated rape of a child 20:12-13§",Offences known to the authorities (number),
1496,2013M02,WHOLE COUNTRY,"1310 Sexual assault of a child, sexual abuse of a child, offering compensation to a young person for a sexual act, solicitation of a child for sexual purposes 20:14-20:16, 20:18§",Offences known to the authorities (number),
1497,2013M02,WHOLE COUNTRY,"1310a1 Sexuall offence against child,  20:14-20:16, 20:18§, on internet",Offences known to the authorities (number),
1498,2013M02,WHOLE COUNTRY,"1311 Dissemination of a sexually offensive image of a child, possession of a sexually offensive image of a child, following a sexually offensive performance of a child 20:19-22§",Offences known to the authorities (number),
1499,2013M02,WHOLE COUNTRY,"1311a1 Dissemination, possession or following a sexually offensive performance of a child on internet",Offences known to the authorities (number),
1500,2013M03,WHOLE COUNTRY,13 Sexual crimes,Offences known to the authorities (number),330.0
1501,2013M03,WHOLE COUNTRY,"1301 Sexual abuse of a child, aggravated sexual abuse of a child, aggravated rape of a child 20:6-7, 7b (-2022)",Offences known to the authorities (number),152.0
1502,2013M03,WHOLE COUNTRY,"1302 Rape, aggravated rape, rape (3 mom) 20:1-2 (-2022)",Offences known to the authorities (number),71.0
1503,2013M03,WHOLE COUNTRY,1302a1 Rape in a private dwelling (-2022),Offences known to the authorities (number),43.0
1504,2013M03,WHOLE COUNTRY,1302a2 Rape in other private place (-2022),Offences known to the authorities (number),14.0
1505,2013M03,WHOLE COUNTRY,1302a3 Rape in a public business centre (-2022),Offences known to the authorities (number),0.0
1506,2013M03,WHOLE COUNTRY,1302a4 Rape in a public occasion (-2022),Offences known to the authorities (number),0.0
1507,2013M03,WHOLE COUNTRY,1302a5 Rape in other public place (-2022),Offences known to the authorities (number),12.0
1508,2013M03,WHOLE COUNTRY,"1302a6 Rape in a restaurant, etc. (-2022)",Offences known to the authorities (number),2.0
1509,2013M03,WHOLE COUNTRY,1302a7 Rape in unknown place (-2022),Offences known to the authorities (number),0.0
1510,2013M03,WHOLE COUNTRY,"1303 Other sexual crimes 20:4-5,5a, 8-9 (-2022)",Offences known to the authorities (number),107.0
1511,2013M03,WHOLE COUNTRY,"1304 Rape, aggravated rape 20:1-2",Offences known to the authorities (number),
1512,2013M03,WHOLE COUNTRY,1304a1 Rape in a private dwelling,Offences known to the authorities (number),
1513,2013M03,WHOLE COUNTRY,1304a2 Rape in other private place,Offences known to the authorities (number),
1514,2013M03,WHOLE COUNTRY,1304a3 Rape in a public business centre,Offences known to the authorities (number),
1515,2013M03,WHOLE COUNTRY,1304a4 Rape in a public occasion,Offences known to the authorities (number),
1516,2013M03,WHOLE COUNTRY,1304a5 Rape in other public place,Offences known to the authorities (number),
1517,2013M03,WHOLE COUNTRY,"1304a6 Rape in a restaurant, etc.",Offences known to the authorities (number),
1518,2013M03,WHOLE COUNTRY,1304a7 Rape in unknown place,Offences known to the authorities (number),
1519,2013M03,WHOLE COUNTRY,"1305 Sexual assault, aggravated sexual assault, sexual abuse 20:3-5§",Offences known to the authorities (number),
1520,2013M03,WHOLE COUNTRY,1306 Sexual harassment 20:6§,Offences known to the authorities (number),
1521,2013M03,WHOLE COUNTRY,1306a1 Sexual harrasment on internet,Offences known to the authorities (number),
1522,2013M03,WHOLE COUNTRY,1307 Non-consensual dissemination of a sexual image 20:7§,Offences known to the authorities (number),
1523,2013M03,WHOLE COUNTRY,1307a1 Non-consensual dissemination of a sexual image on internet,Offences known to the authorities (number),
1524,2013M03,WHOLE COUNTRY,"1308 Pandering, aggravated pandering, abuse of a victim of prostitution 20:8,10-11§",Offences known to the authorities (number),
1525,2013M03,WHOLE COUNTRY,"1309 Rape of a child, aggravated rape of a child 20:12-13§",Offences known to the authorities (number),
1526,2013M03,WHOLE COUNTRY,"1310 Sexual assault of a child, sexual abuse of a child, offering compensation to a young person for a sexual act, solicitation of a child for sexual purposes 20:14-20:16, 20:18§",Offences known to the authorities (number),
1527,2013M03,WHOLE COUNTRY,"1310a1 Sexuall offence against child,  20:14-20:16, 20:18§, on internet",Offences known to the authorities (number),
1528,2013M03,WHOLE COUNTRY,"1311 Dissemination of a sexually offensive image of a child, possession of a sexually offensive image of a child, following a sexually offensive performance of a child 20:19-22§",Offences known to the authorities (number),
1529,2013M03,WHOLE COUNTRY,"1311a1 Dissemination, possession or following a sexually offensive performance of a child on internet",Offences known to the authorities (number),
1530,2013M04,WHOLE COUNTRY,13 Sexual crimes,Offences known to the authorities (number),272.0
1531,2013M04,WHOLE COUNTRY,"1301 Sexual abuse of a child, aggravated sexual abuse of a child, aggravated rape of a child 20:6-7, 7b (-2022)",Offences known to the authorities (number),135.0
1532,2013M04,WHOLE COUNTRY,"1302 Rape, aggravated rape, rape (3 mom) 20:1-2 (-2022)",Offences known to the authorities (number),73.0
1533,2013M04,WHOLE COUNTRY,1302a1 Rape in a private dwelling (-2022),Offences known to the authorities (number),49.0
1534,2013M04,WHOLE COUNTRY,1302a2 Rape in other private place (-2022),Offences known to the authorities (number),15.0
1535,2013M04,WHOLE COUNTRY,1302a3 Rape in a public business centre (-2022),Offences known to the authorities (number),1.0
1536,2013M04,WHOLE COUNTRY,1302a4 Rape in a public occasion (-2022),Offences known to the authorities (number),0.0
1537,2013M04,WHOLE COUNTRY,1302a5 Rape in other public place (-2022),Offences known to the authorities (number),7.0
1538,2013M04,WHOLE COUNTRY,"1302a6 Rape in a restaurant, etc. (-2022)",Offences known to the authorities (number),1.0
1539,2013M04,WHOLE COUNTRY,1302a7 Rape in unknown place (-2022),Offences known to the authorities (number),0.0
1540,2013M04,WHOLE COUNTRY,"1303 Other sexual crimes 20:4-5,5a, 8-9 (-2022)",Offences known to the authorities (number),64.0
1541,2013M04,WHOLE COUNTRY,"1304 Rape, aggravated rape 20:1-2",Offences known to the authorities (number),
1542,2013M04,WHOLE COUNTRY,1304a1 Rape in a private dwelling,Offences known to the authorities (number),
1543,2013M04,WHOLE COUNTRY,1304a2 Rape in other private place,Offences known to the authorities (number),
1544,2013M04,WHOLE COUNTRY,1304a3 Rape in a public business centre,Offences known to the authorities (number),
1545,2013M04,WHOLE COUNTRY,1304a4 Rape in a public occasion,Offences known to the authorities (number),
1546,2013M04,WHOLE COUNTRY,1304a5 Rape in other public place,Offences known to the authorities (number),
1547,2013M04,WHOLE COUNTRY,"1304a6 Rape in a restaurant, etc.",Offences known to the authorities (number),
1548,2013M04,WHOLE COUNTRY,1304a7 Rape in unknown place,Offences known to the authorities (number),
1549,2013M04,WHOLE COUNTRY,"1305 Sexual assault, aggravated sexual assault, sexual abuse 20:3-5§",Offences known to the authorities (number),
1550,2013M04,WHOLE COUNTRY,1306 Sexual harassment 20:6§,Offences known to the authorities (number),
1551,2013M04,WHOLE COUNTRY,1306a1 Sexual harrasment on internet,Offences known to the authorities (number),
1552,2013M04,WHOLE COUNTRY,1307 Non-consensual dissemination of a sexual image 20:7§,Offences known to the authorities (number),
1553,2013M04,WHOLE COUNTRY,1307a1 Non-consensual dissemination of a sexual image on internet,Offences known to the authorities (number),
1554,2013M04,WHOLE COUNTRY,"1308 Pandering, aggravated pandering, abuse of a victim of prostitution 20:8,10-11§",Offences known to the authorities (number),
1555,2013M04,WHOLE COUNTRY,"1309 Rape of a child, aggravated rape of a child 20:12-13§",Offences known to the authorities (number),
1556,2013M04,WHOLE COUNTRY,"1310 Sexual assault of a child, sexual abuse of a child, offering compensation to a young person for a sexual act, solicitation of a child for sexual purposes 20:14-20:16, 20:18§",Offences known to the authorities (number),
1557,2013M04,WHOLE COUNTRY,"1310a1 Sexuall offence against child,  20:14-20:16, 20:18§, on internet",Offences known to the authorities (number),
1558,2013M04,WHOLE COUNTRY,"1311 Dissemination of a sexually offensive image of a child, possession of a sexually offensive image of a child, following a sexually offensive performance of a child 20:19-22§",Offences known to the authorities (number),
