,Year,Pop,Pop_thousands
0,2009,4799252.0,4799.0
1,2010,4858199.0,4858.0
2,2011,4920305.0,4920.0
3,2012,4985870.0,4986.0
4,2013,5051275.0,5051.0
5,2014,5109056.0,5109.0
6,2015,5165802.0,5166.0
7,2016,5213985.0,5214.0
8,2017,5258317.0,5258.0
9,2018,5295619.0,5296.0
10,2019,5328212.0,5328.0
11,2020,5367580.0,5368.0
12,2021,5391369.0,5391.0
13,2022,5425270.0,5425.0
14,2023,5488984.0,5489.0
15,2024,5550203.0,5550.0
16,2025,5594340.0,5594.0
