,Year,Pop,Pop_thousands
0,2009,9259828,9260.0
1,2010,9345135,9345.0
2,2011,9418732,9419.0
3,2012,9486591,9487.0
4,2013,9561254,9561.0
5,2014,9651531,9652.0
6,2015,9753627,9754.0
7,2016,9858794,9859.0
8,2017,10005673,10006.0
9,2018,10128320,10128.0
10,2019,10238627,10239.0
11,2020,10333456,10333.0
12,2021,10380491,10380.0
13,2022,10457147,10457.0
14,2023,10523709,10524.0
15,2024,10550054,10550.0
